ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 1 default","Attribute 2 default","Attribute 3 default","Meta: rs_page_bg_color","Download 1 ID","Download 1 name","Download 1 URL"
1938,variable,,Sloopy,1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece - its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/11-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/11-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/10-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/10-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/9-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/9-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/8-3.jpg",,,,,,,,,11,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#999999"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",0,1,Material,"Range 1, Range 2, Range 3",0,1,Corner,"Left corner, Right corner",0,1,,,,,,,
1939,variable,,"Frame Loveseat",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece - its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/12-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/12-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/11-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/11-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/10-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/10-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/9-3.jpg",,,,,,,,,12,"{""Color"":{""name"":""Color"",""type"":""color"",""terms"":{""Blue"":{""name"":""Blue"",""color"":""#1e73be"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Gray"":{""name"":""Gray"",""color"":""#999999"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Green"":{""name"":""Green"",""color"":""#81d742"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Red"":{""name"":""Red"",""color"":""#dd3333"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""},""Yellow"":{""name"":""Yellow"",""color"":""#eeee22"",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Color,"Blue, Gray, Green, Red, Yellow",0,1,Material,"Range 1, Range 2, Range 3",0,1,Corner,"Left corner, Right corner",0,1,,,,,,,
1940,grouped,,"Lupo 3 Seater",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/13-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/13-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/12-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/12-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/11-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/11-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/10-3.jpg",,,,"id:1928, id:1929, id:1931",,,,,13,,,,,,,,,,,,,,,,,,,,
1941,"simple, downloadable",,"Haru Large",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,,200,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/16-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/16-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/13-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/13-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/12-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/12-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/11-3.jpg",'-1,'-1,,,,,,,14,,,,,,,,,,,,,,,,,,efbf08ee-df0c-4943-9c3b-b9d95568a1f4,m1_slider_chair_2.png,https://nyture.novaworks.net/wp-content/uploads/2020/10/m1_slider_chair_2.png
1942,external,,"Haru Small",1,0,visible,"Why We Love It\nBring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.","[elementor-template id=""2185""]",,,taxable,,1,,,0,0,,,,,1,,200,250,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/15-2.jpg, https://vedbo.co/wp-content/uploads/2021/12/15-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/16-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/16-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/13-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/13-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/12-3.jpg",,,,,,,https://casanha.com/collections/best-product-for-living-room/products/orphan-3-seater-sofa-great-smokies-range-4,,14,,,,,,,,,,,,,,,,,,,,
1943,simple,,"Haru Single",1,0,visible,"<p>Why We Love It Bring the outdoors in with this light and airy piece – its elegantly curved silhouette boasts caning and brass accents that are well-suited for a luxe sun room, while a deep seat and loose, down-filled cushions create an inviting respite for lounging and entertaining.</p>","<p><!-- wp:paragraph --></p>\n<p>[elementor-template id=""2185""]</p>\n<p><!-- /wp:paragraph --></p>",,,taxable,,1,,,0,0,,,,,1,,,250,Furniture,"creative, design, elementor, funiture-single, furniture, novaworks, products, woocommerce",,"https://vedbo.co/wp-content/uploads/2021/12/14-2.jpg, https://vedbo.co/wp-content/uploads/2021/12/14-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/15-2.jpg, https://vedbo.co/wp-content/uploads/2021/12/15-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/16-3.jpg, https://vedbo.co/wp-content/uploads/2021/12/16-1-1.jpg, https://vedbo.co/wp-content/uploads/2021/12/13-3.jpg",,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
2005,variation,,"Elowen Banquette - Green, Range 2, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,13,,Color,Green,,1,Material,"Range 2",,1,Corner,"Left corner",,1,,,,,,,
2002,variation,,"Elowen Banquette - Gray, Range 2, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,12,,Color,Gray,,1,Material,"Range 2",,1,Corner,"Left corner",,1,,,,,,,
1998,variation,,"Elowen Banquette - Green, Range 1, Right corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,8,,Color,Green,,1,Material,"Range 1",,1,Corner,"Right corner",,1,,,,,,,
1999,variation,,"Elowen Banquette - Red, Range 1, Right corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,9,,Color,Red,,1,Material,"Range 1",,1,Corner,"Right corner",,1,,,,,,,
2000,variation,,"Elowen Banquette - Yellow, Range 1, Right corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,10,,Color,Yellow,,1,Material,"Range 1",,1,Corner,"Right corner",,1,,,,,,,
2001,variation,,"Elowen Banquette - Blue, Range 2, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,11,,Color,Blue,,1,Material,"Range 2",,1,Corner,"Left corner",,1,,,,,,,
1983,variation,,"Elowen Banquette - Green, Range 1, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,3,,Color,Green,,1,Material,"Range 1",,1,Corner,"Left corner",,1,,,,,,,
1984,variation,,"Elowen Banquette - Red, Range 1, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,4,,Color,Red,,1,Material,"Range 1",,1,Corner,"Left corner",,1,,,,,,,
1985,variation,,"Elowen Banquette - Yellow, Range 1, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,5,,Color,Yellow,,1,Material,"Range 1",,1,Corner,"Left corner",,1,,,,,,,
1986,variation,,"Elowen Banquette - Blue, Range 1, Right corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,6,,Color,Blue,,1,Material,"Range 1",,1,Corner,"Right corner",,1,,,,,,,
1987,variation,,"Elowen Banquette - Gray, Range 1, Right corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,7,,Color,Gray,,1,Material,"Range 1",,1,Corner,"Right corner",,1,,,,,,,
1969,variation,,"Elowen Banquette - Red, Range 3, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,24,,Color,Red,,1,Material,"Range 3",,1,Corner,"Left corner",,1,,,,,,,
1970,variation,,"Elowen Banquette - Yellow, Range 3, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,25,,Color,Yellow,,1,Material,"Range 3",,1,Corner,"Left corner",,1,,,,,,,
1971,variation,,"Elowen Banquette - Blue, Range 1, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,1,,Color,Blue,,1,Material,"Range 1",,1,Corner,"Left corner",,1,,,,,,,
1972,variation,,"Elowen Banquette - Gray, Range 1, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,2,,Color,Gray,,1,Material,"Range 1",,1,Corner,"Left corner",,1,,,,,,,
1968,variation,,"Elowen Banquette - Green, Range 3, Left corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,23,,Color,Green,,1,Material,"Range 3",,1,Corner,"Left corner",,1,,,,,,,
1952,variation,,"Elowen Banquette - Gray, Range 2, Right corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,17,,Color,Gray,,1,Material,"Range 2",,1,Corner,"Right corner",,1,,,,,,,
1953,variation,,"Elowen Banquette - Green, Range 2, Right corner",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,168,,,,,,,id:1928,,,,,,18,,Color,Green,,1,Material,"Range 2",,1,Corner,"Right corner",,1,,,,,,,
